# Riot Stars main-script translation batch 009
# script_unique.txt DATA lines 534-583 - 50 unique lines / 50 message instances / 2,913 JP chars.
#   "DATA line" = tools/queue.py script_rows() numbering: 1-based over script_unique.txt with
#   '#' comments and blank lines dropped.  FILE line (what grep -n prints) = data + 5, so this
#   unit is FILE lines 539-588.  glossary.md 9's wave-7 block uses the DATA index.
#   ALL FIFTY of this file's own line citations below are DATA lines.
# Banks: 7 (534-541, 8 inst), 8 (542-559, 18), 9 (560-571, 12), 10 (572-577, 6),
#   11 (578-581, 4), 12 (582-583, 2).  None of the four tight banks (41, 40, 5, 2) is touched.
# Theme: town and court NPCs - four more copies of the recruit-and-gossip skeleton
#   (glossary 42, batch_008), plus a ruined-village story scene and fort-guard gossip.
#   534-541  a LECLERC courtier (portrait 0x7D).  Old-fashioned, no contractions, no archaic
#            spelling - glossary 7's village-elders column, the same one 42.6 gives King Leverk.
#   542      a retainer: the King is out.  543-557  PRINCE HOAG in his new island town
#            (portrait 0x14), genial and uncontracted; 551-557 are his gossip and two choices.
#   558      Hoag greets the squad; 559  CAVIA (portrait 0x16), 14.6 register, no contractions.
#   560-571  the elder of an ancient Reese town (portrait 0x7C): archaic, uncontracted.
#            568 a quoted verse; 569/571 the Shadow Tablet errand; 570 the chosen one.
#   572-577  the ruined village: 573/575 a village woman, 574 the Dolgan/Annette/Hoag scene
#            (six portraits, seventeen speaker turns), 576 TORIF (portrait 0x15), 577 Hoag.
#   578-581  fort guards.  582-583  a shop greeting, one text in two portraits.
# Byte-identical reuse (gate 6 and house practice):
#   535 reuses batch_008 DATA 505's visible English exactly (different {FFE2}/{FFD5} args).
#   578/579/581 reuse batch_005's 984/985/988 visible English exactly (different tags).
#   556 == 557 and 582 == 583 in visible text; 571 is the byte-identical tail of 569's
#   pages 3-4; 564's two rows are byte-identical to 547's last two; 565 to 548 but for one
#   row; 573/576/577 share HOAG_TAIL rows byte-for-byte.
# Inserts: 534, 543, 555, 558, 559, 574 (x3), 575, 576, 577 carry {FFEC}{=00}{=00} - the
#   player-name insert, counted as 7 columns by assemble.py and rowcheck.py.
1	{FB00}{=01}{=7D}{=00}{=00}{FCB0}{=00}{=00}{=00}{=01}{FFF5}{FC51}おお、{FFEC}{=00}{=00}殿。{FFFE}我ら　ルクレールの民は{FFFE}みんな　あなた方に{FFFE}感謝しておりますぞ。{FCC0}{FFFE}ご用が　あれば{FFFE}遠慮せずに　申されよ。{FFFE}{FFF8}{=00}{=02}	{FB00}{=01}{=7D}{=00}{=00}{FCB0}{=00}{=00}{=00}{=01}{FFF5}{FC51}Ｏｈ，　{FFEC}{=00}{=00}．{FFFE}Ｗｅ　ｐｅｏｐｌｅ　ｏｆ　Ｌｅｃｌｅｒｃ{FFFE}ａｒｅ　ｏｎｅ　ａｎｄ　ａｌｌ{FFFE}ｇｒａｔｅｆｕｌ　ｔｏ　ｙｏｕ．{FCC0}{FFFE}Ｉｆ　ｙｏｕ　ｈａｖｅ　ａｎ　ｅｒｒａｎｄ，{FFFE}ｓｐｅａｋ　ｉｔ　ｆｒｅｅｌｙ．{FFFE}{FFF8}{=00}{=02}
1	{FFDF}{FFE2}{=00}{=3B}{=00}{=09}{FB01}どれが　欲しい？{FFFE}{FFFA}{=00}{=00}{FFFB}{=00}{=05}{FFF6}{=00}{=00}{=00}{=07}{FFD5}{=00}{=08}{FFF8}{=00}{=05}	{FFDF}{FFE2}{=00}{=3B}{=00}{=09}{FB01}Ｗｈｉｃｈ　ｄｏ　ｙｏｕ　ｗａｎｔ？{FFFE}{FFFA}{=00}{=00}{FFFB}{=00}{=05}{FFF6}{=00}{=00}{=00}{=07}{FFD5}{=00}{=08}{FFF8}{=00}{=05}
1	{FB01}{FFEB}{FFE4}{FFE3}この街の　兵士たちも{FFFE}ヘルファー打倒に{FFFE}燃えておる！！{FFFE}きっと　力になろうぞ。{FCC0}{FFF8}{=00}{=0A}	{FB01}{FFEB}{FFE4}{FFE3}Ｔｈｉｓ　ｔｏｗｎ’ｓ　ｓｏｌｄｉｅｒｓ{FFFE}ｔｏｏ　ｂｕｒｎ　ｔｏ　ｏｖｅｒｔｈｒｏｗ{FFFE}Ｈｅｌｆｅｒ！！{FFFE}Ｔｈｅｙ　ｗｉｌｌ　ｓｕｒｅｌｙ　ｈｅｌｐ．{FCC0}{FFF8}{=00}{=0A}
1	{FB01}どうした？{FFFE}気に入らないか。{FFFE}では、仕方がない。{FFFE}{FCC0}{FFF8}{=00}{=0A}	{FB01}Ｗｈａｔ　ｉｓ　ｉｔ？{FFFE}Ｎｏｔ　ｔｏ　ｙｏｕｒ　ｌｉｋｉｎｇ？{FFFE}Ｗｅｌｌ，　ｎｏｔｈｉｎｇ　ｆｏｒ　ｉｔ．{FFFE}{FCC0}{FFF8}{=00}{=0A}
1	{FB01}おや？　兵の数が{FFFE}いっぱいだな。{FFFE}これ以上、補充する{FFFE}ことも　なかろう。{FC30}{FFF8}{=00}{=0A}	{FB01}Ｏｈ？　Ｙｏｕｒ　ｒａｎｋｓ{FFFE}ａｒｅ　ｆｕｌｌ．{FFFE}Ｔｈｅｒｅ　ｉｓ　ｎｏ　ｎｅｅｄ　ｔｏ{FFFE}ｒｅｃｒｕｉｔ　ａｎｙ　ｍｏｒｅ．{FC30}{FFF8}{=00}{=0A}
1	{FC51}{FB01}他に用はあるか？{FFFE}{FFF8}{=00}{=03}	{FC51}{FB01}Ａｎｙ　ｏｔｈｅｒ　ｂｕｓｉｎｅｓｓ？{FFFE}{FFF8}{=00}{=03}
1	{FC51}{FB01}そうか。くれぐれも{FFFE}気をつけてな！{FFFE}ヘルファー打倒の{FFFE}吉報を　待っておるぞ！{FC30}{FFF5}{FFC2}{=00}{=01}	{FC51}{FB01}Ｉ　ｓｅｅ．　Ａｂｏｖｅ　ａｌｌ，{FFFE}ｄｏ　ｔａｋｅ　ｃａｒｅ！{FFFE}Ｉ　ａｗａｉｔ　ｇｏｏｄ　ｎｅｗｓ　ｏｆ{FFFE}Ｈｅｌｆｅｒ’ｓ　ｏｖｅｒｔｈｒｏｗ！{FC30}{FFF5}{FFC2}{=00}{=01}
1	{FB01}この島は{FFFE}古代リース文明と{FFFE}かなり　関係が{FFFE}深いらしいな。{FCC0}{FFFE}島の　あちこちに{FFFE}その文明の　遺跡が{FFFE}埋もれている{FFFE}という噂だ。{FCC0}{FFF8}{=00}{=0A}	{FB01}Ｔｈｉｓ　ｉｓｌａｎｄ，　ｔｈｅｙ　ｓａｙ，{FFFE}ｉｓ　ｂｏｕｎｄ　ｕｐ　ｄｅｅｐｌｙ{FFFE}ｗｉｔｈ　ｔｈｅ　ａｎｃｉｅｎｔ{FFFE}Ｒｅｅｓｅ　ｃｉｖｉｌｉｓａｔｉｏｎ．{FCC0}{FFFE}Ｗｏｒｄ　ｉｓ　ｒｕｉｎｓ　ｏｆ　ｔｈａｔ{FFFE}ｃｉｖｉｌｉｓａｔｉｏｎ　ｌｉｅ{FFFE}ｂｕｒｉｅｄ　ｈｅｒｅ　ａｎｄ　ｔｈｅｒｅ{FFFE}ａｃｒｏｓｓ　ｔｈｅ　ｉｓｌａｎｄ．{FCC0}{FFF8}{=00}{=0A}
1	{FB01}南東の小島に　古びた館を{FFFE}見つけたのだが、{FFFE}少し　妙なことが{FFFE}あってな。{FCC0}{FFFE}完全な空き家なのにも{FFFE}関わらず、{FFFE}時折　獣のうなり声が{FFFE}聞こえるというのだ。{FCC0}{FFFE}よかったら、{FFFE}調査してみてくれないか。{FFFE}{FFFA}{=00}{=00}　はい{FFFE}　いいえ{FFFA}{=00}{=05}{FFF7}{=00}{=02}{=00}{=00}{=00}{=02}{FFF6}{=00}{=00}{=00}{=0F}{FFF6}{=00}{=01}{=00}{=10}	{FB01}Ｏｎ　ａ　ｓｍａｌｌ　ｓｏｕｔｈ‐ｅａｓｔ{FFFE}ｉｓｌａｎｄ　Ｉ　ｆｏｕｎｄ　ａｎ　ｏｌｄ{FFFE}ｍａｎｓｉｏｎ．　Ｓｏｍｅｔｈｉｎｇ{FFFE}ｔｈｅｒｅ　ｉｓ　ａ　ｌｉｔｔｌｅ　ｏｄｄ．{FCC0}{FFFE}Ｔｈｏｕｇｈ　ｉｔ　ｉｓ　ｅｎｔｉｒｅｌｙ{FFFE}ａｎ　ｅｍｐｔｙ　ｈｏｕｓｅ，{FFFE}ｎｏｗ　ａｎｄ　ａｇａｉｎ　ｔｈｅ　ｇｒｏｗｌ{FFFE}ｏｆ　ａ　ｂｅａｓｔ　ｉｓ　ｈｅａｒｄ．{FCC0}{FFFE}Ｉｆ　ｙｏｕ　ａｒｅ　ｗｉｌｌｉｎｇ，{FFFE}ｗｉｌｌ　ｙｏｕ　ｌｏｏｋ　ｉｎｔｏ　ｉｔ？{FFFE}{FFFA}{=00}{=00}　Ｙｅｓ{FFFE}　Ｎｏ{FFFA}{=00}{=05}{FFF7}{=00}{=02}{=00}{=00}{=00}{=02}{FFF6}{=00}{=00}{=00}{=0F}{FFF6}{=00}{=01}{=00}{=10}
1	{FB01}そうか、{FFFE}引き受けてくれるか。{FFFE}では、よろしく　頼む。{FCC0}{FFF2}{=00}{=00}{FFF8}{=00}{=0A}	{FB01}Ｉ　ｓｅｅ．{FFFE}Ｙｏｕ　ｗｉｌｌ　ｕｎｄｅｒｔａｋｅ　ｉｔ．{FFFE}Ｉ　ｓｈａｌｌ　ｃｏｕｎｔ　ｏｎ　ｙｏｕ．{FCC0}{FFF2}{=00}{=00}{FFF8}{=00}{=0A}
1	{FB01}そうか。いや、{FFFE}忙しい時に　悪かった。{FFFE}こちらで{FFFE}調べてみるとしよう。{FCC0}{FFF8}{=00}{=0A}	{FB01}Ｉ　ｓｅｅ．　Ｎｏ，{FFFE}ｍｙ　ａｐｏｌｏｇｉｅｓ　ｆｏｒ　ａｓｋｉｎｇ{FFFE}ｗｈｉｌｅ　ｙｏｕ　ａｒｅ　ｂｕｓｙ．{FFFE}Ｉ　ｓｈａｌｌ　ｌｏｏｋ　ｉｎｔｏ　ｉｔ．{FCC0}{FFF8}{=00}{=0A}
1	{FB01}実は　もう少し　街を{FFFE}拡張する予定なのだが、{FFFE}誘致する店を　何にするか{FFFE}迷っているのだ。{FCC0}{FFFE}{FFEC}{=00}{=00}は{FFFE}どちらがいいと　思う？{FFFE}{FFFA}{=00}{=00}　ビーストショップ{FFFE}　アイテムショップ{FFFA}{=00}{=05}{FFF7}{=00}{=02}{=00}{=00}{=00}{=02}{FFF6}{=00}{=00}{=00}{=12}{FFF6}{=00}{=01}{=00}{=13}	{FB01}Ｉｎ　ｔｒｕｔｈ　Ｉ　ｍｅａｎ　ｔｏ{FFFE}ｅｘｐａｎｄ　ｔｈｅ　ｔｏｗｎ　ｍｏｒｅ，{FFFE}ｂｕｔ　Ｉ　ｃａｎｎｏｔ　ｄｅｃｉｄｅ{FFFE}ｗｈａｔ　ｓｈｏｐ　ｔｏ　ｄｒａｗ　ｉｎ．{FCC0}{FFFE}{FFEC}{=00}{=00}，　ｗｈｉｃｈ{FFFE}ｄｏ　ｙｏｕ　ｔｈｉｎｋ　ｉｓ　ｂｅｔｔｅｒ？{FFFE}{FFFA}{=00}{=00}　Ｂｅａｓｔ　Ｓｈｏｐ{FFFE}　Ｉｔｅｍ　Ｓｈｏｐ{FFFA}{=00}{=05}{FFF7}{=00}{=02}{=00}{=00}{=00}{=02}{FFF6}{=00}{=00}{=00}{=12}{FFF6}{=00}{=01}{=00}{=13}
1	{FB01}なるほど。{FFFE}参考にさせてもらうよ。{FCC0}{FFF2}{=00}{=0E}{FFF8}{=00}{=0A}	{FB01}Ｉｎｄｅｅｄ．{FFFE}Ｉ　ｓｈａｌｌ　ｔａｋｅ　ｔｈａｔ{FFFE}ｉｎｔｏ　ａｃｃｏｕｎｔ．{FCC0}{FFF2}{=00}{=0E}{FFF8}{=00}{=0A}
1	{FB01}なるほど。{FFFE}参考にさせてもらうよ。{FCC0}{FFF2}{=00}{=0F}{FFF8}{=00}{=0A}	{FB01}Ｉｎｄｅｅｄ．{FFFE}Ｉ　ｓｈａｌｌ　ｔａｋｅ　ｔｈａｔ{FFFE}ｉｎｔｏ　ａｃｃｏｕｎｔ．{FCC0}{FFF2}{=00}{=0F}{FFF8}{=00}{=0A}
1	{FFC2}{=00}{=02}{FB00}{=00}{=00}{=00}{=00}{FB00}{=00}{=14}{=00}{=01}{FCB0}{=00}{=01}{=00}{=01}{FC51}おお、{FFEC}{=00}{=00}！{FFFE}元気であったか！！{FFFE}どうだ、戦況の方は？{FFFE}{FC30}{FCB0}{=00}{=00}{=00}{=00}{FC50}まずまず　です。{FFFE}それにしても　王子、{FFFE}立派な街が{FFFE}できましたね！！{FC30}{FC51}{FB01}そなたたちが　いつでも{FFFE}戻って来れるようにと{FFFE}思ってな。　ゆっくり{FFFE}休んで　いってくれ。{FCC0}{FFFE}そうだ！　キャビアも{FFFE}楽しみに待っていたはず。{FFFE}キャビア！　キャビア！{FFFE}また　いなくなったかな？{FC30}{FFF2}{=00}{=2A}{FB01}{FC50}{FFFD}{FFF8}{=00}{=02}	{FFC2}{=00}{=02}{FB00}{=00}{=00}{=00}{=00}{FB00}{=00}{=14}{=00}{=01}{FCB0}{=00}{=01}{=00}{=01}{FC51}Ｏｈ，　{FFEC}{=00}{=00}！{FFFE}Ｓｏ　ｙｏｕ　ａｒｅ　ｗｅｌｌ！！{FFFE}Ａｎｄ　ｈｏｗ　ｇｏｅｓ　ｔｈｅ　ｗａｒ？{FFFE}{FC30}{FCB0}{=00}{=00}{=00}{=00}{FC50}Ｗｅｌｌ　ｅｎｏｕｇｈ．{FFFE}Ｓｔｉｌｌ，　ｍｙ　Ｐｒｉｎｃｅ，{FFFE}ｗｈａｔ　ａ　ｆｉｎｅ　ｔｏｗｎ{FFFE}ｙｏｕ　ｈａｖｅ　ｒａｉｓｅｄ！！{FC30}{FC51}{FB01}Ｉ　ｍｅａｎｔ　ｔｈａｔ　ｙｏｕ　ｍｉｇｈｔ{FFFE}ｒｅｔｕｒｎ　ｈｅｒｅ　ｗｈｅｎｅｖｅｒ{FFFE}ｙｏｕ　ｗｉｓｈ．　Ｄｏ　ｒｅｓｔ　ｈｅｒｅ{FFFE}ｂｅｆｏｒｅ　ｙｏｕ　ｇｏ　ｏｎ．{FCC0}{FFFE}Ｓａｙ！　Ｃａｖｉａ　ｍｕｓｔ　ｈａｖｅ{FFFE}ｂｅｅｎ　ａｗａｉｔｉｎｇ　ｙｏｕ　ｔｏｏ．{FFFE}Ｃａｖｉａ！　Ｃａｖｉａ！{FFFE}Ｏｆｆ　ｓｏｍｅｗｈｅｒｅ　ａｇａｉｎ？{FC30}{FFF2}{=00}{=2A}{FB01}{FC50}{FFFD}{FFF8}{=00}{=02}
1	{FFF3}{=00}{=01}{=00}{=01}{FFC2}{=00}{=02}{FB00}{=00}{=16}{=00}{=00}{FCB0}{=00}{=00}{=00}{=00}{FC50}{FFEC}{=00}{=00}！{FFFE}留守中、私を訪ねて{FFFE}くれたようね。　別に{FFFE}遊んでいた訳じゃないの。{FCC0}{FFFE}この島の　南で{FFFE}伝説の街を発見したのよ！{FFFE}キャビア　大発見でしょ！{FFFE}オーホホホ・・・・{FC30}{FFF2}{=00}{=01}{FB01}{FC50}{FFFD}{FFF8}{=00}{=01}	{FFF3}{=00}{=01}{=00}{=01}{FFC2}{=00}{=02}{FB00}{=00}{=16}{=00}{=00}{FCB0}{=00}{=00}{=00}{=00}{FC50}{FFEC}{=00}{=00}！{FFFE}Ｙｏｕ　ｃａｌｌｅｄ　ｏｎ　ｍｅ　ｗｈｉｌｅ{FFFE}Ｉ　ｗａｓ　ａｗａｙ，　ｉｔ　ｓｅｅｍｓ．{FFFE}Ｉ　ｗａｓ　ｎｏｔ　ｊｕｓｔ　ａｔ　ｐｌａｙ．{FCC0}{FFFE}Ｓｏｕｔｈ　ｏｆ　ｔｈｉｓ　ｉｓｌａｎｄ{FFFE}ｌｉｅｓ　ａ　ｌｅｇｅｎｄａｒｙ　ｔｏｗｎ！{FFFE}Ａ　ｇｒｅａｔ　ｆｉｎｄ　ｂｙ　Ｃａｖｉａ！{FFFE}Ｏｈｏｈｏｈｏ．．．．{FC30}{FFF2}{=00}{=01}{FB01}{FC50}{FFFD}{FFF8}{=00}{=01}
1	{FB00}{=01}{=7C}{=00}{=00}{FB00}{=00}{=00}{=00}{=01}{FCB0}{=00}{=00}{=00}{=01}{FFF5}{FC51}よく参られた、若者よ。{FFFE}ここは、リースの神々に{FFFE}守られし、いにしえの街。{FFFE}{FCC0}{FFF8}{=00}{=02}	{FB00}{=01}{=7C}{=00}{=00}{FB00}{=00}{=00}{=00}{=01}{FCB0}{=00}{=00}{=00}{=01}{FFF5}{FC51}Ｗｅｌｌ　ｍｅｔ，　ｙｏｕｎｇ　ｏｎｅ．{FFFE}Ｔｈｉｓ　ｉｓ　ａｎ　ａｎｃｉｅｎｔ　ｔｏｗｎ{FFFE}ｇｕａｒｄｅｄ　ｂｙ　ｔｈｅ　ｇｏｄｓ{FFFE}ｏｆ　Ｒｅｅｓｅ．{FCC0}{FFF8}{=00}{=02}
1	{FC51}{FB01}で、ご用は何かな？{FFFE}{FFF8}{=00}{=03}	{FC51}{FB01}Ｎｏｗ，　ｙｏｕｒ　ｅｒｒａｎｄ？{FFFE}{FFF8}{=00}{=03}
1	{FFDF}{FFE2}{=00}{=3B}{=00}{=09}{FB01}どれが　よい？{FFFE}{FFFA}{=00}{=00}{FFFB}{=00}{=05}{FFF6}{=00}{=00}{=00}{=07}{FFD5}{=00}{=08}{FFF8}{=00}{=05}	{FFDF}{FFE2}{=00}{=3B}{=00}{=09}{FB01}Ｗｈｉｃｈ　ｗｏｕｌｄ　ｂｅ　ｂｅｓｔ？{FFFE}{FFFA}{=00}{=00}{FFFB}{=00}{=05}{FFF6}{=00}{=00}{=00}{=07}{FFD5}{=00}{=08}{FFF8}{=00}{=05}
1	{FB01}{FFEB}{FFE4}{FFE3}大切になされよ。{FCC0}{FFF8}{=00}{=0A}	{FB01}{FFEB}{FFE4}{FFE3}Ｔｒｅａｔ　ｔｈｅｍ　ｗｅｌｌ．{FCC0}{FFF8}{=00}{=0A}
1	{FB01}気に入らないか。{FFFE}では、仕方がない。{FFFE}{FCC0}{FFF8}{=00}{=0A}	{FB01}Ｎｏｔ　ｔｏ　ｙｏｕｒ　ｌｉｋｉｎｇ？{FFFE}Ｗｅｌｌ，　ｎｏｔｈｉｎｇ　ｆｏｒ　ｉｔ．{FFFE}{FCC0}{FFF8}{=00}{=0A}
1	{FB01}おや？　兵の数が{FFFE}いっぱいのようだ。{FFFE}これ以上、補充する{FFFE}ことも　なかろう。{FC30}{FFF8}{=00}{=0A}	{FB01}Ｏｈ？　Ｙｏｕｒ　ｒａｎｋｓ{FFFE}ｓｅｅｍ　ｔｏ　ｂｅ　ｆｕｌｌ．{FFFE}Ｔｈｅｒｅ　ｉｓ　ｎｏ　ｎｅｅｄ　ｔｏ{FFFE}ｒｅｃｒｕｉｔ　ａｎｙ　ｍｏｒｅ．{FC30}{FFF8}{=00}{=0A}
1	{FC51}{FB01}他に用はあるかな？{FFFE}{FFF8}{=00}{=03}	{FC51}{FB01}Ａｎｙ　ｏｔｈｅｒ　ｂｕｓｉｎｅｓｓ？{FFFE}{FFF8}{=00}{=03}
